0,1,2,3,4,5,6,7,8
店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
完全個室居酒屋 れんま 富山駅前店,050-5494-4838, ,富山県,富山市,桜町,2001/4/1,https://r.gnavi.co.jp/5vvkfsve0000/?sc_type=area&sc_area=jp&sc_dsp=rs_395854,TRUE
台所屋ケンちゃん 本町店,050-5489-3399, ,大阪府,大阪市,中央区本町,4月8日,https://r.gnavi.co.jp/fbp1654z0000/?sc_type=area&sc_area=jp&sc_dsp=rs_394402,TRUE
個室居酒屋 蕎麦割烹 山崎大井町本店,050-5488-1549, ,東京都,品川区,東大井,2005/2/1,https://r.gnavi.co.jp/dy1ft47z0000/,TRUE
全席個室居酒屋 京都 はんなり邸 京都駅前店,050-5484-3184, ,京都府,京都市,南区東九条室町,4,https://r.gnavi.co.jp/89ghp7a40000/,TRUE
焼き鳥と海鮮 個室居酒屋和ノ音－wanone－ 京都駅前店,050-5485-6811, ,京都府,京都市,下京区東塩小路町,73,https://r.gnavi.co.jp/d6r6k1ty0000/,TRUE
お肉とワイントラットリア　レ・ポルテ,050-5485-9801, ,東京都,大田区,西蒲田,7-41,https://r.gnavi.co.jp/du3jkjw00000/?sc_type=area&sc_area=jp&sc_dsp=rs_390253,TRUE
完全個室居酒屋 あく庵 海浜幕張店,050-5489-4881, ,千葉県,千葉市,美浜区ひび野,1月1日,https://r.gnavi.co.jp/p0ue1dbx0000/,TRUE
和食 完全個室居酒屋だいもん 大宮店,050-5488-7962, ,埼玉県,さいたま市,大宮区大門町,1月6日,https://r.gnavi.co.jp/px07gm1w0000/,TRUE
三宮　焼鳥　居酒屋ももたろう 本店,050-5484-1797, ,兵庫県,神戸市,中央区北長狭通,2002/10/1,https://r.gnavi.co.jp/k288800/,TRUE
ひねり蛇口ハイ 大衆酒泉テルマエ 名古屋駅前泉,050-5487-8973, ,愛知県,名古屋市,中村区名駅,2-36,https://r.gnavi.co.jp/2xdf1xee0000/,TRUE
魚と酒と個室 海鮮すなおや食堂,050-5484-2045, ,大阪府,大阪市,淀川区西中島,2005/8/2,https://r.gnavi.co.jp/k821707/,TRUE
炉端とおでん 呼炉凪来（ころなぎらい）京都駅前店,050-5492-8206, ,京都府,京都市,南区東九条室町,4,https://r.gnavi.co.jp/sex0hmju0000/,TRUE
個室居酒屋×海鮮炉端焼き喰海（くうかい） 名駅店,050-5487-4490, ,愛知県,名古屋市,中村区名駅,3月14日,https://r.gnavi.co.jp/sa1e196k0000/,TRUE
【個室完備】居酒屋 鮮魚 牛タン もてなし屋 渋谷店,050-5485-6672, ,東京都,渋谷区,宇田川町,26,https://r.gnavi.co.jp/rgt38r9u0000/?sc_type=area&sc_area=jp&sc_dsp=rs_392215,TRUE
刈谷個室居酒屋 福わうち 刈谷駅前店,050-5489-1077, ,愛知県,刈谷市,桜町,2,https://r.gnavi.co.jp/66gnhwtj0000/,TRUE
うお吟 中之島フェスティバルプラザ店,050-5494-5217, ,大阪府,大阪市,北区中之島,3月2日,https://r.gnavi.co.jp/5wxfhk0d0000/,TRUE
全席個室 ウメ子の家秋葉原駅前店,050-2018-8911, ,東京都,千代田区,神田佐久間町,1月1日,https://r.gnavi.co.jp/g493553/,TRUE
全席個室 じぶんどき 札幌駅前店,050-2018-8966, ,北海道,札幌市,中央区北,4,https://r.gnavi.co.jp/4h1zwyme0000/,TRUE
完全個室多数 名古屋地鶏 金鯱酒場 名駅西口店,050-5488-2170, ,愛知県,名古屋市,中村区椿町,15,https://r.gnavi.co.jp/pce6bfuc0000/,TRUE
牛タンとおでん 個室居酒屋 しょう助,050-5486-8142, ,千葉県,千葉市,中央区富士見,1月9日,https://r.gnavi.co.jp/3m8zxxd70000/?sc_type=area&sc_area=jp&sc_dsp=rs_390933,TRUE
六鳴,050-5485-3315, ,愛知県,刈谷市,相生町,2-30,https://r.gnavi.co.jp/adav39th0000/,TRUE
信州蕎麦・鷄個室居酒屋 八兵衛田町本店,050-5485-2382, ,東京都,港区,芝浦,3月12日,https://r.gnavi.co.jp/81gf1csx0000/,TRUE
全席個室　焼き鳥　地鶏坊主　上野店　3時間飲み放題,050-5492-3363, ,東京都,台東区,上野,6月8日,https://r.gnavi.co.jp/dpf9szh90000/,TRUE
炭火と酒 くろや 大井町店,050-5484-2576, ,東京都,品川区,東大井,2005/4/1,https://r.gnavi.co.jp/bj14yemr0000/,TRUE
肉と魚とめん料理 なにがし豊田コモスクエア店,050-5486-2401, ,愛知県,豊田市,喜多町,3月11日,https://r.gnavi.co.jp/n166807/,TRUE
隠れ家個室 九州料理居酒屋 別邸 ‐Bettei‐ 上野駅前店,050-5486-8291, ,東京都,台東区,上野公園,1月5日,https://r.gnavi.co.jp/bvxhw2py0000/?sc_type=area&sc_area=jp&sc_dsp=rs_391349,TRUE
大衆餃子酒場 まる幸,050-5486-4470, ,滋賀県,草津市,大路,1-15-3,https://r.gnavi.co.jp/a9daf25x0000/,TRUE
全席個室 ウメ子の家仙台駅前店,050-2018-8845, ,宮城県,仙台市,青葉区中央,1月7日,https://r.gnavi.co.jp/52t5gf650000/,TRUE
個室ダイニング 楽蔵‐RAKUZO‐神戸三宮駅前店,050-2018-8993, ,兵庫県,神戸市,中央区北長狭通,1-20-1,https://r.gnavi.co.jp/k311722/,TRUE
全席個室 楽蔵うたげ赤坂見附店,050-2018-8910, ,東京都,港区,赤坂,2003/1/1,https://r.gnavi.co.jp/g493583/,TRUE
地鶏と沖縄琉球しゃぶしゃぶ 個室居酒屋 くろ凪 金山店,050-5489-5568, ,愛知県,名古屋市,熱田区金山町,2002/4/1,https://r.gnavi.co.jp/ew98ykpe0000/,TRUE
牡蠣と海鮮酒場 うみいち 流川店,050-5492-8336, ,広島県,広島市,中区胡町,3月1日,https://r.gnavi.co.jp/en6p7e7c0000/?sc_type=area&sc_area=jp&sc_dsp=rs_396484,TRUE
地鶏と網焼き 個室居酒屋 鶏匠 長野駅前店,050-5487-7392, ,長野県,長野市,南長野末広町,1356,https://r.gnavi.co.jp/8b2szs980000/,TRUE
大崎キッチン‐OSAKI KITCHEN‐,050-2018-8959, ,東京都,品川区,大崎,1月5日,https://r.gnavi.co.jp/r8383dcm0000/,TRUE
北海道個室居酒屋みんなでこれるもん 札幌駅西口前店,050-5485-3220, ,北海道,札幌市,中央区北,5,https://r.gnavi.co.jp/76n3f3m20000/,TRUE
糸島直送の食 博多居酒屋 どげん海,050-1809-1324, ,福岡県,福岡市,博多区博多駅東,2002/2/1,https://r.gnavi.co.jp/r8exwc3j0000/,TRUE
地鶏と網焼き 個室居酒屋鶏匠 刈谷駅前店,050-5488-4848, ,愛知県,刈谷市,相生町,2月3日,https://r.gnavi.co.jp/5var2yt90000/,TRUE
本格中華 龍騰酒場,050-5488-2492, ,東京都,中央区,日本橋久松町,10,https://r.gnavi.co.jp/bgt4ksdk0000/?sc_type=area&sc_area=jp&sc_dsp=rs_392464,TRUE
個室ダイニング ウメ子の家品川駅前店,050-2018-8873, ,東京都,港区,港南,2月6日,https://r.gnavi.co.jp/g493543/?sc_type=area&sc_area=jp&sc_dsp=rs_389426,TRUE
黒豚しゃぶしゃぶ あじと Dear西麻布,050-5494-1784, ,東京都,港区,西麻布,2003/1/2,https://r.gnavi.co.jp/2uc02d2u0000/?sc_type=area&sc_area=jp&sc_dsp=rs_387957,TRUE
横浜中華街 小籠包専門店 七福,050-5484-9017, ,神奈川県,横浜市,中区山下町,13,https://r.gnavi.co.jp/rtmrkeus0000/,TRUE
香港飲茶食べ放題 中華街香港大飯店,050-5494-5379, ,神奈川県,横浜市,中区山下町,146,https://r.gnavi.co.jp/mtrj403x0000/,TRUE
全席個室 楽蔵うたげ渋谷駅前店,050-2018-8905, ,東京都,渋谷区,渋谷,1-24-1,https://r.gnavi.co.jp/gak5848/,TRUE
